SoldTo,Name,ADRC,ST2,Sales Organization,Distribution Channel,Division,Partner Function,Partner counter,Partner,Name,Partner Description,Default Partner,ADRC,ST2
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,20,BP,1,6004275,A B C SPLY BELOIT,,,75986,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,20,PY,0,5002047,A B C SPLY BELOIT,,X,76274,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,20,SH,0,1004994,A B C SPLY 495 JACKSONVILLE,,,87768,495
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,20,SH,1,3292758,A B C SPLY 495 JACKSONVILLE,,,436266,495
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,20,SP,0,1004994,A B C SPLY 495 JACKSONVILLE,,,87768,495
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,30,BP,0,6004275,A B C SPLY BELOIT,,,75986,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,30,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,30,SH,0,3558142,J/FOXWOOD APT/A B C SPLY 495 JACKSO,,,610411,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,30,SH,1,3553728,C&G CARTAGE FOR ISLANDS MECHANICAL,,,595112,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,30,SH,2,3537781,J/GOLD CHOICE ASSISTED LIVING/ABC S,,,477972,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,30,SH,3,3525933,J/OAK CREST APT/ A B C SPLY 495,,,386580,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,30,SH,4,3558513,J/ALVISTA METRO W/A B C SPLY 495,,,611749,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,30,SH,6,3292758,A B C SPLY 495 JACKSONVILLE,,,436266,495
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,30,SP,0,1004994,A B C SPLY 495 JACKSONVILLE,,,87768,495
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,40,BP,0,6004275,A B C SPLY BELOIT,,,75986,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,40,PY,1,5002047,A B C SPLY BELOIT,,X,76274,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,40,SH,2,3221161,J/MAYPORT NAVAL HANGER 1552,,,83237,
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,40,SP,0,1004994,A B C SPLY 495 JACKSONVILLE,,,87768,495
1004994,A B C SPLY 495 JACKSONVILLE,87768,495,1210,0,70,BP,1,6004275,A B C SPLY BELOIT,,,75986,
